company,location,state,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions,role,department,employee_type,reason,company_size,source
Infosys,Bengaluru,Karnataka,IT Services,535,0.1,2024-09-08,Post-IPO,India,0,Project Manager,Project Management,Part-time,Market conditions,Medium,Synthetic Practice Data
PharmEasy,New Delhi,Delhi,HealthTech,11,0.065,2026-04-25,Late Stage,India,1200,Business Analyst,Business,Contract,Performance optimization,Medium,Synthetic Practice Data
OYO,Gurugram,Haryana,Travel,480,0.248,2022-04-10,Post-IPO,India,4300,Customer Support Executive,Customer Support,Full-time,Automation,Startup,Synthetic Practice Data
BYJU'S,Mumbai,Maharashtra,EdTech,355,0.22,2022-09-13,Late Stage,India,5500,UI/UX Designer,Design,Contract,Market conditions,Enterprise,Synthetic Practice Data
Paytm,,Karnataka,FinTech,634,0.063,2026-04-24,Post-IPO,India,5000,Customer Support Executive,Customer Support,Contract, Performance optimization,Small,Synthetic Practice Data
Razorpay,Mumbai,Maharashtra,FinTech,591,0.021,2023-04-12,Late Stage,India,800,Data Scientist,Data Science,Contract,Restructuring,Large,Synthetic Practice Data
BYJU'S,Gurugram,Haryana,EdTech,156,0.111,2022-02-21,Late Stage,India,5500,DevOps Engineer,Engineering,Full-time,Economic slowdown,Startup,Synthetic Practice Data
Dream11,,Haryana,Gaming,653,0.037,2025-09-16,Late Stage,India,1000,Data Scientist,Data Science,Full-time,Economic slowdown,Enterprise,Synthetic Practice Data
Paytm,Noida,Uttar Pradesh,FinTech,301,0.029,2026-04-20,Post-IPO,India,5000,Recruiter,Human Resources,Contract,Economic slowdown,Large,Synthetic Practice Data
Policybazaar,Mumbai,Maharashtra,Financial Services,1025,0.083,2021-11-10,Post-IPO,India,800,Finance Analyst,Finance,Part-time,Economic slowdown,Small,Synthetic Practice Data
Freshworks,Chennai,Tamil Nadu,SaaS,999,0.115,2021-01-05,Post-IPO,India,484,Software Engineer,Engineering,Contract,Cost cutting,Enterprise,Synthetic Practice Data
Myntra,Mumbai,Maharashtra,E-commerce,689,0.076,2026-05-15,Late Stage,India,500,Business Analyst,Business,Contract,Performance optimization,Startup,Synthetic Practice Data
Flipkart,Kolkata,West Bengal,E-commerce,121,0.145,2026-01-27,Late Stage,India,8700,Data Analyst,Analytics,Intern,Business shutdown,Enterprise,Synthetic Practice Data
Udaan,Bengaluru,Karnataka,E-commerce,598,0.122,2025-09-10,Late Stage,India,1200,Software Engineer,Engineering,Intern,Automation,Large,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,364,0.233,2022-01-29,Post-IPO,India,0,Marketing Executive,Marketing,Intern,Funding issues,Large,Synthetic Practice Data
Meesho,Bengaluru,Karnataka,E-commerce,226,0.055,2022-10-07,Late Stage,India,1200,UI/UX Designer,Design,Part-time,Funding issues,Enterprise,Synthetic Practice Data
ShareChat,Bengaluru,Karnataka,Social Media,108,0.191,2025-03-07,Late Stage,India,1300,DevOps Engineer,Engineering,Intern,Economic slowdown,Enterprise,Synthetic Practice Data
Paytm,New Delhi,Delhi,FinTech,202,0.229,2026-07-17,Post-IPO,India,5000,Software Engineer,Engineering,Full-time,Economic slowdown,Startup,Synthetic Practice Data
Zomato,New Delhi,Delhi,Food Delivery,43,0.039,2024-10-16,Post-IPO,India,2500,DevOps Engineer,Engineering,Intern,Restructuring,Large,Synthetic Practice Data
PhonePe,New Delhi,Delhi,FinTech,377,0.223,2023-03-24,Late Stage,India,2200,Customer Support Executive,Customer Support,Full-time,Restructuring,Small,Synthetic Practice Data
Dream11,Mumbai,Maharashtra,Gaming,182,0.063,2022-03-02,Late Stage,India,1000,DevOps Engineer,Engineering,Part-time,Cost cutting,Large,Synthetic Practice Data
Tech Mahindra,Kolkata,West Bengal,IT Services,1129,0.061,2021-01-03,Post-IPO,India,0,HR Executive,Human Resources,Part-time,Merger and acquisition,Large,Synthetic Practice Data
Moglix,Bengaluru,Karnataka,E-commerce,628,0.115,2021-04-05,Late Stage,India,650,,Project Management,Part-time,Economic slowdown,Startup,Synthetic Practice Data
OYO,Gurugram,Haryana,Travel,1061,0.089,2026-02-12,Post-IPO,India,4300,DevOps Engineer,Engineering,Part-time,Funding issues,Medium,Synthetic Practice Data
Infosys,,Karnataka,IT Services,730,0.108,2024-05-03,Post-IPO,India,0,HR Executive,Human Resources,Intern,Market conditions,Enterprise,Synthetic Practice Data
PharmEasy,Bengaluru,Karnataka,HealthTech,366,0.116,2023-08-24,Late Stage,India,1200,DevOps Engineer,Engineering,Part-time,Performance optimization,Startup,Synthetic Practice Data
Moglix,Mumbai,Maharashtra,E-commerce,490,0.24,2023-11-24,Late Stage,India,650,Recruiter,Human Resources,Part-time,Strategic restructuring,Enterprise,Synthetic Practice Data
Ola,,Tamil Nadu,Transportation,73,0.167,2023-04-09,Late Stage,India,3200,DevOps Engineer,Engineering,Full-time,Strategic restructuring,Enterprise,Synthetic Practice Data
Lenskart,Mumbai,Maharashtra,Retail,405,0.234,2026-08-22,Late Stage,India,1500,Project Manager,Project Management,Intern,Market conditions,Startup,Synthetic Practice Data
Curefit,Hyderabad,Telangana,HealthTech,68,0.163,2025-05-09,Late Stage,India,700,Customer Support Executive,Customer Support,Intern,Business shutdown,Enterprise,Synthetic Practice Data
Unacademy,Bengaluru,Karnataka,EdTech,265,0.084,2025-03-17,Late Stage,India,800,Marketing Executive,Marketing,Intern,Cost cutting,Startup,Synthetic Practice Data
Lenskart,Bengaluru,Karnataka,Retail,464,0.126,2025-12-07,Late Stage,India,1500,Project Manager,Project Management,Contract,Cost cutting,Large,Synthetic Practice Data
BYJU'S,Mumbai,Maharashtra,EdTech,643,0.071,2025-11-22,Late Stage,India,5500,Senior Software Engineer,Engineering,Intern,Restructuring,Small,Synthetic Practice Data
Accenture India,Hyderabad,Telangana,IT Services,271,0.044,2023-06-27,Private,India,0,Project Manager,Project Management,Part-time,Cost cutting,Enterprise,Synthetic Practice Data
Infosys,Hyderabad,Telangana,IT Services,996,0.08,2022-10-07,Post-IPO,India,0,Senior Software Engineer,Engineering,Full-time,Cost cutting,Enterprise,Synthetic Practice Data
Razorpay,Mumbai,Maharashtra,FinTech,333,0.024,2022-04-30,Late Stage,India,800,Marketing Executive,Marketing,Intern,Merger and acquisition,Startup,Synthetic Practice Data
Lenskart,Gurugram,Haryana,Retail,80,0.105,2026-03-13,Late Stage,India,1500,UI/UX Designer,Design,Intern,Business shutdown,Enterprise,Synthetic Practice Data
Wipro,Kolkata,West Bengal,IT Services,300,0.036,2021-01-17,Post-IPO,India,0,Project Manager,Project Management,Full-time,Restructuring,Large,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,526,0.113,2021-05-18,Post-IPO,India,0,Marketing Executive,,Intern,Performance optimization,Large,Synthetic Practice Data
Zomato,Mumbai,Maharashtra,Food Delivery,903,0.13,2023-06-02,Post-IPO,India,2500,Marketing Executive,Marketing,Contract,Business shutdown,Small,Synthetic Practice Data
TCS,Bengaluru,Karnataka,IT Services,402,0.075,2023-06-28,Post-IPO,India,0,Operations Executive,Operations,Part-time,Business shutdown,Small,Synthetic Practice Data
HCLTech,Bengaluru,Karnataka,IT Services,519,0.144,2024-08-07,Post-IPO,India,0,Operations Executive,Operations,Contract,Market conditions,Startup,Synthetic Practice Data
ShareChat,Mumbai,Maharashtra,Social Media,84,0.157,2025-12-02,Late Stage,India,1300,UI/UX Designer,Design,Contract,Restructuring,Large,Synthetic Practice Data
Wipro,Bengaluru,Karnataka,IT Services,1162,0.02,2023-07-22,Post-IPO,India,0,Data Scientist,Data Science,Part-time,Business shutdown,Large,Synthetic Practice Data
Ola,Chennai,Tamil Nadu,Transportation,214,0.204,2022-12-18,Late Stage,India,3200,Finance Analyst,Finance,Part-time,Restructuring,Small,Synthetic Practice Data
CRED,Gurugram,Haryana,FinTech,138,0.213,2024-12-16,Late Stage,India,1000,Product Manager,Product,Intern,Performance optimization,Large,Synthetic Practice Data
Flipkart,Gurugram,Haryana,E-commerce,616,0.087,2023-04-18,Late Stage,India,8700,DevOps Engineer,Engineering,Contract,Performance optimization,Enterprise,Synthetic Practice Data
HCLTech,Noida,Uttar Pradesh,IT Services,1198,0.049,2025-10-16,Post-IPO,India,0,UI/UX Designer,Design,Contract,Funding issues,Medium,Synthetic Practice Data
Moglix,Noida,Uttar Pradesh,E-commerce,125,0.188,2021-06-14,Late Stage,India,650,Operations Executive,Operations,Part-time,Economic slowdown,Enterprise,Synthetic Practice Data
Razorpay,Gurugram,Haryana,FinTech,338,0.034,2021-07-04,Late Stage,India,800,Sales Executive,Sales,Part-time,Economic slowdown,Medium,Synthetic Practice Data
 Myntra,Gurugram,Haryana,E-commerce,159,0.166,2023-01-27,Late Stage,India,500,QA Engineer,Quality Assurance,Intern,Economic slowdown,Small,Synthetic Practice Data
Curefit,Mumbai,Maharashtra,HealthTech,419,0.062,2021-01-28,Late Stage,India,700,Marketing Executive,Marketing,Contract,Funding issues,Startup,Synthetic Practice Data
CRED,Bengaluru,Karnataka,FinTech,162,0.246,2024-05-15,Late Stage,India,1000,Finance Analyst,Finance,Part-time,Performance optimization,Enterprise,Synthetic Practice Data
Dream11,Mumbai,Maharashtra,Gaming,436,0.033,2024-08-21,Late Stage,India,1000,Recruiter,Human Resources,Intern,Strategic restructuring,Enterprise,Synthetic Practice Data
Infosys,Bengaluru,Karnataka,IT Services,243,0.085,2021-12-23,Post-IPO,India,0,Project Manager,Project Management,Contract,Cost cutting,Medium,Synthetic Practice Data
ShareChat,Bengaluru,Karnataka,Social Media,666,0.118,2023-12-21,Late Stage,India,1300,DevOps Engineer,Engineering,Full-time,Performance optimization,Enterprise,Synthetic Practice Data
Policybazaar,Gurugram,Haryana,Financial Services,824,0.04,2023-02-20,Post-IPO,India,800,Business Analyst,Business,Full-time,Funding issues,Startup,Synthetic Practice Data
 Policybazaar,Gurugram,Haryana,Financial Services,60,0.019,2022-04-20,Post-IPO,India,800,Senior Software Engineer,Engineering,Full-time,Market conditions,Large,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,225,0.126,2025-05-08,Post-IPO,India,0,QA Engineer,Quality Assurance,Full-time,Restructuring,Enterprise,Synthetic Practice Data
Zomato,New Delhi,Delhi,Food Delivery,1077,0.13,2023-05-28,Post-IPO,India,2500,Business Analyst,Business,Full-time,Cost cutting,Large,Synthetic Practice Data
Policybazaar,New Delhi,Delhi,Financial Services,860,0.017,2025-11-21,Post-IPO,India,800,Customer Support Executive,Customer Support,Intern,Business shutdown,Small,Synthetic Practice Data
OYO,Mumbai,Maharashtra,Travel,160,0.08,2025-01-16,Post-IPO,India,4300,DevOps Engineer,Engineering,Contract,Merger and acquisition,Medium,Synthetic Practice Data
PharmEasy,New Delhi,Delhi,HealthTech,674,0.086,2024-12-14,Late Stage,India,1200,UI/UX Designer,Design,Intern,Performance optimization,Small,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,639,0.106,2022-12-08,Post-IPO,India,0,Marketing Executive,Marketing,Intern,Market conditions,Startup,Synthetic Practice Data
Curefit,Hyderabad,Telangana,HealthTech,324,0.037,2023-04-07,Late Stage,India,700,DevOps Engineer,Engineering,Contract,Strategic restructuring,Small,Synthetic Practice Data
Moglix,Mumbai,Maharashtra,E-commerce,575,0.12,2026-05-31,Late Stage,India,650,Business Analyst,Business,Intern,Economic slowdown,Medium,Synthetic Practice Data
Tech Mahindra,Hyderabad,Telangana,IT Services,39,0.147,2024-10-29,Post-IPO,India,0,DevOps Engineer,Engineering,Full-time,Strategic restructuring,Startup,Synthetic Practice Data
Udaan,Mumbai,Maharashtra,E-commerce,55,0.089,2022-03-18,Late Stage,India,1200,Data Scientist,Data Science,Contract,Funding issues,Medium,Synthetic Practice Data
Zomato,Mumbai,Maharashtra,Food Delivery,297,0.216,2026-01-26,Post-IPO,India,2500,Business Analyst,Business,Full-time,Economic slowdown,Large,Synthetic Practice Data
Unacademy,Bengaluru,Karnataka,EdTech,581,0.052,2024-05-04,Late Stage,India,800,Product Manager,Product,Part-time,Business shutdown,Small,Synthetic Practice Data
Razorpay,Mumbai,Maharashtra,FinTech,646,0.056,2025-02-16,Late Stage,India,800,Operations Executive,Operations,Part-time,Cost cutting,Enterprise,Synthetic Practice Data
HCLTech,Hyderabad,Telangana,IT Services,560,0.033,2025-10-31,Post-IPO,India,0,Software Engineer,Engineering,Full-time,Economic slowdown,Startup,Synthetic Practice Data
Tech Mahindra,Pune,Maharashtra,IT Services,800,0.01,2021-08-28,Post-IPO,India,0,Product Manager,Product,Full-time,Market conditions,Enterprise,Synthetic Practice Data
Infosys,Chennai,Tamil Nadu,IT Services,1147,0.11,2024-11-23,Post-IPO,India,0,Business Analyst,Business,Intern,Funding issues,Large,Synthetic Practice Data
Zomato,Mumbai,Maharashtra,Food Delivery,677,0.014,2021-04-16,Post-IPO,India,2500,,Sales,Part-time,Funding issues,Startup,Synthetic Practice Data
BYJU'S,Mumbai,Maharashtra,EdTech,14,0.069,2021-06-30,Late Stage,India,5500,UI/UX Designer,Design,Full-time,Strategic restructuring,Startup,Synthetic Practice Data
Policybazaar,Gurugram,Haryana,Financial Services,1012,0.029,2025-04-22,Post-IPO,India,800,Sales Executive,Sales,Full-time,Merger and acquisition,Enterprise,Synthetic Practice Data
Dream11,Bengaluru,Karnataka,Gaming,496,0.232,2025-03-06,Late Stage,India,1000,Product Manager,Product,Full-time,Cost cutting,Medium,Synthetic Practice Data
PhonePe,Bengaluru,Karnataka,FinTech,194,0.103,2021-11-14,Late Stage,India,2200,Sales Executive,Sales,Intern,Strategic restructuring,Large,Synthetic Practice Data
ShareChat,New Delhi,Delhi,Social Media,207,0.09,2025-11-03,Late Stage,India,1300,Senior Software Engineer,Engineering,Full-time,Restructuring,Large,Synthetic Practice Data
Razorpay,Gurugram,Haryana,fintech,616,0.107,2023-09-22,Late Stage,India,800,Business Analyst,Business,Full-time,Restructuring,Medium,Synthetic Practice Data
Ather Energy,Chennai,Tamil Nadu,Automotive,625,0.1,2026-06-09,Late Stage,India,500,Data Scientist,Data Science,Full-time,Performance optimization,Medium,Synthetic Practice Data
Meesho,Gurugram,Haryana,E-commerce,677,0.129,2023-07-29,Late Stage,India,1200,Project Manager,Project Management,Part-time,Strategic restructuring,Medium,Synthetic Practice Data
Udaan,Gurugram,Haryana,E-commerce,256,0.126,2022-09-28,Late Stage,India,1200,Recruiter,Human Resources,Contract,Cost cutting,Startup,Synthetic Practice Data
HCLTech,Hyderabad,Telangana,IT Services,925,0.041,2024-01-06,Post-IPO,India,0,Project Manager,Project Management,Contract,Performance optimization,Enterprise,Synthetic Practice Data
Freshworks,Hyderabad,Telangana,SaaS,464,0.138,2024-06-23,Post-IPO,India,484,Product Manager,Product,Part-time,Cost cutting,Small,Synthetic Practice Data
Swiggy,Bengaluru,Karnataka,Food Delivery,1114,0.128,2025-05-15,Post-IPO,India,3600,Recruiter,Human Resources,Intern,Economic slowdown,Enterprise,Synthetic Practice Data
Lenskart,Mumbai,Maharashtra,Retail,159,0.087,2024-03-24,Late Stage,India,1500,marketing executive,Marketing,Part-time,Restructuring,Medium,Synthetic Practice Data
Lenskart,Bengaluru,Karnataka,Retail,270,0.149,2023-04-10,Late Stage,India,1500,Sales Executive,Sales,Intern,Restructuring ,Enterprise,Synthetic Practice Data
Flipkart,Kolkata,West Bengal,E-commerce,95,0.184,2021-12-14,Late Stage,India,8700,HR Executive,Human Resources,Part-time,Funding issues,Enterprise,Synthetic Practice Data
Moglix,Bengaluru,Karnataka,e-commerce,365,0.117,2021-03-29,Late Stage,India,650,Data Analyst,Analytics,Intern,,Small,Synthetic Practice Data
HCLTech,Bengaluru,Karnataka,IT Services,1122,0.056,2026-03-03,Post-IPO,India,0,Data Scientist,,Full-time,Market conditions,Enterprise,Synthetic Practice Data
Dream11,Gurugram,Haryana,Gaming,611,0.111,2026-01-17,Late Stage,India,1000,HR Executive,Human Resources,Part-time,Strategic restructuring,Medium,Synthetic Practice Data
CRED,Mumbai,Maharashtra,FinTech,204,0.208,2026-06-23,Late Stage,India,1000,Marketing Executive,Marketing,Part-time,Business shutdown,Enterprise,Synthetic Practice Data
Unacademy,New Delhi,Delhi,EdTech,125,0.098,2023-10-21,Late Stage,India,800,Data Scientist,Data Science,Part-time,Merger and acquisition,Startup,Synthetic Practice Data
Moglix,Mumbai,Maharashtra,E-commerce,681,0.08,2024-04-25,Late Stage,India,650,Data Analyst,Analytics,Full-time,Business shutdown,Large,Synthetic Practice Data
Wipro,Pune,Maharashtra,IT Services,291,0.087,2025-03-10,Post-IPO,India,0,Data Scientist,Data Science,Contract,Cost cutting,Large,Synthetic Practice Data
Wipro,Bengaluru,Karnataka,IT Services,1030,0.07,2024-01-31,Post-IPO,India,0,Data Analyst,Analytics,Contract,Funding issues,Large,Synthetic Practice Data
Lenskart,Bengaluru,Karnataka,Retail,18,0.105,2022-08-26,Late Stage,India,1500,HR Executive,Human Resources,Full-time,Automation,Small,Synthetic Practice Data
Razorpay,Mumbai,Maharashtra,FinTech,67,0.131,2022-12-03,Late Stage,India,800,Marketing Executive,Marketing,Intern,Restructuring,Large,Synthetic Practice Data
TCS,Mumbai,Maharashtra,IT Services,1061,0.119,2022-12-27,Post-IPO,India,0,Customer Support Executive,Customer Support,Intern,Strategic restructuring,Small,Synthetic Practice Data
Tech Mahindra,Pune,Maharashtra,IT Services,624,0.112,2024-06-13,Post-IPO,India,0,Data Analyst,Analytics,Intern,Market conditions,Medium,Synthetic Practice Data
BYJU'S,Bengaluru,Karnataka,EdTech,217,0.045,2022-12-12,Late Stage,India,5500,Recruiter,Human Resources,Part-time,Funding issues,Enterprise,Synthetic Practice Data
Freshworks,Chennai,Tamil Nadu,SaaS,690,0.09,2026-02-14,Post-IPO,India,484,DevOps Engineer,Engineering,Contract,Strategic restructuring,Startup,Synthetic Practice Data
PharmEasy,New Delhi,Delhi,HealthTech,584,0.12,2023-03-25,Late Stage,India,1200,Marketing Executive,Marketing,Full-time,Restructuring,Enterprise,Synthetic Practice Data
Lenskart,Bengaluru,Karnataka,Retail,341,0.245,2024-04-13,Late Stage,India,1500,Project Manager,Project Management,Contract,Business shutdown,Enterprise,Synthetic Practice Data
Accenture India,Mumbai,Maharashtra,IT Services,229,0.134,2025-10-28,Private,India,0,Data Analyst,Analytics,Full-time,Cost cutting,Enterprise,Synthetic Practice Data
Lenskart,Gurugram,Haryana,Retail,426,0.136,2021-10-24,Late Stage,India,1500,Project Manager,Project Management,Contract,Merger and acquisition,Medium,Synthetic Practice Data
HCLTech,Bengaluru,Karnataka,IT Services,403,0.146,2023-08-30,Post-IPO,India,0,Sales Executive,Sales,Part-time,Business shutdown,Large,Synthetic Practice Data
Moglix,Mumbai,Maharashtra,E-commerce,11,0.193,2021-02-21,Late Stage,India,650,QA Engineer,Quality Assurance,Contract,Cost cutting,Medium,Synthetic Practice Data
Udaan,Mumbai,Maharashtra,E-commerce,544,0.038,2026-03-10,Late Stage,India,1200,Customer Support Executive,Customer Support,Full-time,Economic slowdown,Small,Synthetic Practice Data
Dream11,Gurugram,Haryana,Gaming,656,0.083,2023-02-05,Late Stage,India,1000,Sales Executive,Sales,Intern,Market conditions,Startup,Synthetic Practice Data
Razorpay,Gurugram,Haryana,FinTech,202,0.065,2021-01-14,Late Stage,India,800,Recruiter,Human Resources,Intern,Restructuring,Medium,Synthetic Practice Data
Meesho,Bengaluru,Karnataka,E-commerce,379,0.088,2026-04-30,Late Stage,India,1200,Recruiter,Human Resources,Part-time,Merger and acquisition,Startup,Synthetic Practice Data
Tech Mahindra,Hyderabad,Telangana,IT Services,282,0.139,2022-07-29,Post-IPO,India,0,Data Scientist,Data Science,Full-time,Automation,Startup,Synthetic Practice Data
Flipkart,Gurugram,Haryana,E-commerce,424,0.083,2024-04-05,Late Stage,India,8700,Recruiter,Human Resources,Part-time,Performance optimization,Large,Synthetic Practice Data
ShareChat,Bengaluru,Karnataka,Social Media,247,0.069,2026-08-18,Late Stage,India,1300,Business Analyst,Business,Full-time,Business shutdown,Medium,Synthetic Practice Data
Lenskart,Bengaluru,Karnataka,Retail,677,0.033,2023-03-27,Late Stage,India,1500,UI/UX Designer,Design,Full-time,Restructuring,Enterprise,Synthetic Practice Data
Unacademy,New Delhi,Delhi,EdTech,27,0.163,2023-03-12,Late Stage,India,800,Data Scientist,Data Science,Contract,Strategic restructuring,Startup,Synthetic Practice Data
Paytm,Mumbai,Maharashtra,FinTech,92,0.133,2026-05-27,Post-IPO,India,5000,Finance Analyst,Finance,Intern,Economic slowdown,Large,Synthetic Practice Data
BYJU'S,Gurugram,Haryana,EdTech,631,0.072,2024-01-24,Late Stage,India,5500,Customer Support Executive,Customer Support,Intern,Performance optimization,Enterprise,Synthetic Practice Data
Ather Energy,Bengaluru,Karnataka,Automotive,127,0.227,2021-05-01,Late Stage,India,500,Business Analyst,Business,Part-time,Funding issues,Small,Synthetic Practice Data
TCS,Mumbai,Maharashtra,IT Services,934,0.062,2022-12-20,Post-IPO,India,0,data scientist,Data Science,Contract,Business shutdown,Small,Synthetic Practice Data
Zomato,Gurugram,Haryana,Food Delivery,608,0.069,2026-01-06,Post-IPO,India,2500,Product Manager,Product,Full-time,Funding issues,Small,Synthetic Practice Data
PharmEasy,Bengaluru,Karnataka,HealthTech,511,0.124,2023-06-06,Late Stage,India,1200,Data Scientist,Data Science,Full-time,Market conditions,Medium,Synthetic Practice Data
Infosys,Hyderabad,Telangana,IT Services,1170,0.131,2025-05-12,Post-IPO,India,0,Operations Executive,Operations,Full-time,Performance optimization,Enterprise,Synthetic Practice Data
Ather Energy,Chennai,Tamil Nadu,Automotive,251,0.235,2023-06-12,Late Stage,India,500,Recruiter,Human Resources,Intern,Economic slowdown,Startup,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,538,0.061,2024-01-05,Post-IPO,India,0,UI/UX Designer,Design,Part-time,Cost cutting,Startup,Synthetic Practice Data
OYO,New Delhi,Delhi,Travel,1148,0.086,2024-08-06,Post-IPO,India,4300,Sales Executive,Sales,Part-time,Funding issues,Large,Synthetic Practice Data
Ola,Chennai,Tamil Nadu,Transportation,298,0.115,2025-11-16,Late Stage,India,3200,Marketing Executive,Marketing,Part-time,Performance optimization,Medium,Synthetic Practice Data
OYO,Gurugram,Haryana,Travel,678,0.095,2026-08-16,Post-IPO,India,4300,Operations Executive,Operations,Contract,Economic slowdown,Startup,Synthetic Practice Data
ShareChat,New Delhi,Delhi,Social Media,337,0.229,2021-10-02,Late Stage,India,1300,Data Analyst,Analytics,Part-time,Restructuring,Large,Synthetic Practice Data
BYJU'S,Mumbai,Maharashtra,EdTech,677,0.037,2021-12-04,Late Stage,India,5500,Senior Software Engineer,Engineering,Part-time,Restructuring,Small,Synthetic Practice Data
Curefit,Hyderabad ,Telangana,HealthTech,265,0.207,2021-11-10,Late Stage,India,700,Senior Software Engineer,Engineering,Full-time,Cost cutting,Small,Synthetic Practice Data
Paytm,Noida,Uttar Pradesh,FinTech,1049,0.139,2024-01-24,Post-IPO,India,5000,Sales Executive,Sales,Part-time,Cost cutting,Medium,Synthetic Practice Data
Ather Energy,Chennai,Tamil Nadu,Automotive,361,0.109,2022-12-05,Late Stage,India,500,Finance Analyst,Finance,Contract,Market conditions,Enterprise,Synthetic Practice Data
Unacademy,Jaipur,Rajasthan,EdTech,367,0.177,2025-03-05,Late Stage,India,800,Operations Executive,Operations,Intern,Merger and acquisition,Medium,Synthetic Practice Data
BYJU'S,Gurugram,Haryana,EdTech,333,0.054,2025-10-08,Late Stage,India,5500,Senior Software Engineer,Engineering,Part-time,Market conditions,Enterprise,Synthetic Practice Data
Dream11,Gurugram,Haryana,Gaming,439,0.112,2024-05-31,Late Stage,India,1000,Senior Software Engineer,Engineering,Part-time,Funding issues,Medium,Synthetic Practice Data
Zomato,New Delhi,Delhi,Food Delivery,580,0.078,2023-07-06,Post-IPO,India,2500,QA Engineer,Quality Assurance,Part-time,Economic slowdown,Medium,Synthetic Practice Data
Tech Mahindra,Hyderabad,Telangana,IT Services,376,0.162,2024-05-17,Post-IPO,India,0,Customer Support Executive,Customer Support,Intern,Market conditions,Enterprise,Synthetic Practice Data
Meesho,Bengaluru,Karnataka,E-commerce,587,0.143,2026-03-20,Late Stage,India,1200,Finance Analyst,Finance,Full-time,Business shutdown,Medium,Synthetic Practice Data
ShareChat,Mumbai,Maharashtra,Social Media,448,0.189,2023-10-08,Late Stage,India,1300,Project Manager,Project Management,Full-time,Performance optimization,Medium,Synthetic Practice Data
Flipkart,Bengaluru,Karnataka,E-commerce,106,0.034,2026-04-04,Late Stage,India,8700,Operations Executive,Operations,Part-time,Strategic restructuring,Small,Synthetic Practice Data
Infosys,Pune,Maharashtra,IT Services,137,0.238,2022-12-19,Post-IPO,India,0,Marketing Executive,Marketing,Part-time,Automation,Large,Synthetic Practice Data
Moglix,Noida,Uttar Pradesh,E-commerce,692,0.067,2025-07-07,Late Stage,India,650,HR Executive,Human Resources,Part-time,Business shutdown,Enterprise,Synthetic Practice Data
Wipro,Hyderabad,Telangana,IT Services,1160,0.033,2024-07-24,Post-IPO,India,0,UI/UX Designer,Design,Part-time,Cost cutting,Startup,Synthetic Practice Data
PhonePe,Bengaluru,Karnataka,FinTech,236,0.191,2024-02-26,Late Stage,India,2200,Operations Executive,Operations,Full-time,Funding issues,Small,Synthetic Practice Data
ShareChat,New Delhi,Delhi,Social Media,75,0.109,2022-05-24,Late Stage,India,1300,UI/UX Designer,Design,Intern,Performance optimization,Startup,Synthetic Practice Data
BYJU'S,Gurugram,Haryana,EdTech,153,0.101,2024-04-19,Late Stage,India,5500,Marketing Executive,Marketing,Contract,Economic slowdown,Small,Synthetic Practice Data
Lenskart,Mumbai,Maharashtra,Retail,249,0.128,2024-09-05,Late Stage,India,1500,Sales Executive,Sales,Full-time,Strategic restructuring,Small,Synthetic Practice Data
BYJU'S,Bengaluru,Karnataka,EdTech,597,0.067,2025-09-07,Late Stage,India,5500,Recruiter,Human Resources,Intern,Business shutdown,Startup,Synthetic Practice Data
ShareChat,Mumbai,Maharashtra,Social Media,295,0.081,2025-10-03,Late Stage,India,1300,UI/UX Designer,Design,Intern,,Enterprise,Synthetic Practice Data
Lenskart,Bengaluru,Karnataka,Retail,622,0.055,2022-03-25,Late Stage,India,1500,Sales Executive,Sales,Contract,Automation,Startup,Synthetic Practice Data
Ather Energy,Chennai,Tamil Nadu,Automotive,657,0.101,2025-02-13,Late Stage,India,500,Marketing Executive,Marketing,Part-time,Cost cutting,Startup,Synthetic Practice Data
PhonePe,New Delhi,Delhi,FinTech,683,0.01,2024-05-16,Late Stage,India,2200,Data Scientist,Data Science,Intern,Cost cutting,Enterprise,Synthetic Practice Data
Accenture India,Hyderabad,Telangana,IT Services,43,0.094,2022-02-06,Private,India,0,Operations Executive,Operations,Contract,Cost cutting,Enterprise,Synthetic Practice Data
Ola,Bengaluru,Karnataka,Transportation,603,0.129,2023-10-09,Late Stage,India,3200,Sales Executive,Sales,Intern,Merger and acquisition,Medium,Synthetic Practice Data
Freshworks,Bengaluru,Karnataka,SaaS,107,0.099,2022-08-18,Post-IPO,India,484,Operations Executive,Operations,Contract,Strategic restructuring,Medium,Synthetic Practice Data
Ola,New Delhi,Delhi,Transportation,568,0.028,2022-06-30,Late Stage,India,3200,Software Engineer,Engineering,Contract,Funding issues,Medium,Synthetic Practice Data
Zomato,Gurugram,Haryana,Food Delivery,164,0.222,2024-10-30,Post-IPO,India,2500,Operations Executive,Operations,Contract,Business shutdown,Startup,Synthetic Practice Data
Unacademy,Jaipur,Rajasthan,EdTech,689,0.102,2025-06-03,Late Stage,India,800,QA Engineer,Quality Assurance,Full-time,Merger and acquisition,Small,Synthetic Practice Data
